EXP;PROJECT;VERSIONS_AHEAD;CONFIG;FIT_MEAN;FIT_STD;SCORE_MEAN;SCORE_STD;MAE;RMSE;MAPE;R2 
1;apache_kafka_measures;1;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 1);18.677836179733276;6.5347416505443485;0.15613217353820802;0.023907139458992123;3178.371630859375;3508.290722659499;6.969517932607639;-7.033832188931996
1;apache_kafka_measures;5;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 1);17.75061092376709;6.624252853604392;0.15042719841003419;0.016500135193848766;4549.419599184783;5082.581297651006;8.965359477311983;-13.481590743499964
1;apache_kafka_measures;10;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 1);17.252368116378783;6.532047717333787;0.15827617645263672;0.018106679734979467;5231.088383152174;5589.74668415972;9.96384819089723;-89.36692168343647
1;apache_kafka_measures;20;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 1);15.699386072158813;6.055319921320644;0.16377429962158202;0.013219519534256983;4097.442150297619;4581.3101674713835;7.723087956449442;-20.532244583538226
1;apache_kafka_measures;40;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 1);13.698785543441772;5.460265647959573;0.1605240821838379;0.018685140711980106;8710.627473958335;9207.16937531217;15.559601545768174;-201.33578165242932
1;apache_kafka_measures;average;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 1);16.615797367095947;6.241325558152549;0.15782678604125974;0.01808372292681149;5153.389847490457;5593.819649450756;9.836283020606894;-66.35007417036721
1;apache_kafka_measures;1;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 2);29.287406253814698;11.198730538812224;0.27758331298828126;0.011957702785467957;4154.260107421875;4493.208057266992;10.081335017173082;-13.435467494005668
1;apache_kafka_measures;5;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 2);27.930666732788087;9.955943685807188;0.25702500343322754;0.01716726880386876;2745.970601222826;3310.0886311211934;5.506824463689712;-12.856003700822834
1;apache_kafka_measures;10;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 2);26.63663249015808;10.315327106780337;0.2898075103759766;0.026410472755653717;6983.15285326087;7222.1801082873335;12.520077943709547;-105.51056068807733
1;apache_kafka_measures;20;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 2);26.1746874332428;9.991456765807799;0.27301874160766604;0.01740439895310564;5906.994047619048;6243.757348412302;11.124120928705704;-38.17358091897731
1;apache_kafka_measures;40;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 2);22.3361909866333;7.956961690400113;0.2684301853179932;0.010682709926686703;4660.721310763889;5174.605215931815;8.538526649175136;-53.24948298560766
1;apache_kafka_measures;average;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 2);26.47311677932739;9.883683957521532;0.2731729507446289;0.016724510644956555;4890.219784057702;5288.767872203927;9.554177000490636;-44.64501915749817
1;apache_kafka_measures;1;(5, 100, 'adam', 0.01, 'relu', 0.1, 100, 1);17.88694272041321;6.631104023093745;0.1588153839111328;0.01440036915109501;4459.411165364583;4806.402339736445;8.916694158532822;-10.184602094952549
1;apache_kafka_measures;5;(5, 100, 'adam', 0.01, 'relu', 0.1, 100, 1);17.433454942703246;6.479831849618734;0.15736799240112304;0.017506210364308532;5688.516100543478;6079.962082869133;13.459649921072621;-33.43219644081273
1;apache_kafka_measures;10;(5, 100, 'adam', 0.01, 'relu', 0.1, 100, 1);16.658834791183473;6.4553600684255725;0.15309491157531738;0.00924190095048634;8547.113247282608;8855.025580756123;16.888658313948078;-83.90624362581578
1;apache_kafka_measures;20;(5, 100, 'adam', 0.01, 'relu', 0.1, 100, 1);15.401307153701783;6.03943266684168;0.15493307113647461;0.015144983838447692;7435.858389136905;7806.470806885161;14.410266364832438;-42.4406543499161
1;apache_kafka_measures;40;(5, 100, 'adam', 0.01, 'relu', 0.1, 100, 1);13.667198610305785;4.667890237925588;0.15726537704467775;0.021540192147889423;5849.378732638889;6462.350976171683;10.325465868426647;-115.18564777467839
1;apache_kafka_measures;average;(5, 100, 'adam', 0.01, 'relu', 0.1, 100, 1);16.2095476436615;6.054723769181064;0.1562953472137451;0.0155667312904454;6396.055526993293;6802.04235728371;12.80014692536252;-57.029868857235115
1;apache_kafka_measures;1;(5, 100, 'adam', 0.01, 'relu', 0.1, 100, 2);32.846737957000734;12.868571256319498;0.3141482353210449;0.03324928967605073;3219.249055989583;3435.654796292375;7.481472535828962;-6.031338826322552
1;apache_kafka_measures;5;(5, 100, 'adam', 0.01, 'relu', 0.1, 100, 2);32.26526780128479;11.823959183911043;0.325194263458252;0.02179392559044785;3296.665285326087;3802.39284307897;6.61567676309995;-14.4284303001334
1;apache_kafka_measures;10;(5, 100, 'adam', 0.01, 'relu', 0.1, 100, 2);30.89524374008179;12.497252082974082;0.30436038970947266;0.020804908348209913;3909.0932235054343;4298.147036857433;8.001206765835494;-6.350400365371721
1;apache_kafka_measures;20;(5, 100, 'adam', 0.01, 'relu', 0.1, 100, 2);29.677037286758424;11.003966463668212;0.3161452770233154;0.05721125067877157;7434.593638392858;7726.655624363809;13.864408565673434;-31.73222873198123
1;apache_kafka_measures;40;(5, 100, 'adam', 0.01, 'relu', 0.1, 100, 2);26.429549264907838;9.63750979824968;0.3255329608917236;0.05290561095958618;5116.851822916667;5820.721294247348;9.463321430264369;-65.70957160855272
1;apache_kafka_measures;average;(5, 100, 'adam', 0.01, 'relu', 0.1, 100, 2);30.422767210006715;11.566251757024505;0.3170762252807617;0.037192997050613255;4595.290605226126;5016.714318967986;9.08521721214044;-24.850393966472325
