EXP;PROJECT;VERSIONS_AHEAD;CONFIG;FIT_MEAN;FIT_STD;SCORE_MEAN;SCORE_STD;MAE;RMSE;MAPE;R2 
1;java_websocket_measures;1;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 1);13.664501571655274;4.808894479396754;0.16765966415405273;0.026561504185214673;266.72133138020837;323.8009257569817;12.805924516221802;-110.92415387764564
1;java_websocket_measures;5;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 1);13.950290727615357;4.846993077515618;0.14283056259155275;0.020719038836518926;382.7441772460937;429.935171369227;19.589536838547694;-85.01309796139631
1;java_websocket_measures;10;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 1);13.11383228302002;4.333648257447933;0.15008697509765626;0.024054904175742672;439.6329711914062;496.5909141757529;26.59657988835711;-80.93044382197647
1;java_websocket_measures;20;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 1);12.578838348388672;4.376905046918126;0.14124908447265624;0.018136277331301465;689.9699117024741;735.880847723948;52.69923561889086;-204.53724000248616
1;java_websocket_measures;40;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 1);9.350415515899659;3.45986947722003;0.147275972366333;0.015466704533087187;298.6831624348958;340.56400433555353;20.81252879910943;-322.9375288847299
1;java_websocket_measures;average;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 1);12.531575689315796;4.365262067699692;0.14982045173645017;0.020987685812372984;415.55031079101565;465.35437267229264;26.50076113222538;-160.86849290964687
1;java_websocket_measures;1;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 2);22.813641023635864;8.222815535514936;0.24029169082641602;0.0286311200844384;222.48048177083334;271.7192932973249;11.657162214022827;-39.21496821247919
1;java_websocket_measures;5;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 2);21.783457851409914;7.762831819192249;0.2339639663696289;0.021693157897524754;209.95710937500002;258.2037353460475;12.051083721543927;-11.23592207537398
1;java_websocket_measures;10;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 2);20.833690214157105;6.981019152768894;0.24072117805480958;0.016934107906224214;493.29579206194194;558.9260133670715;30.06148366965749;-71.87241574964696
1;java_websocket_measures;20;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 2);19.06322388648987;6.103460380207873;0.2559640407562256;0.02309667789820808;611.4251912434896;637.6678709222206;42.58772934167963;-227.41668478057358
1;java_websocket_measures;40;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 2);15.00377254486084;4.5901843243727125;0.23069119453430176;0.02411638460369331;441.24631618923615;473.03395601629563;35.29186555541794;-227.89638496951753
1;java_websocket_measures;average;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 2);19.899557104110716;6.732062242411334;0.24032641410827638;0.022894289678017748;395.6809781281002;439.91017378979205;26.32986490046436;-115.52727515751823
1;java_websocket_measures;1;(5, 100, 'adam', 0.01, 'relu', 0.1, 100, 1);13.256731319427491;4.829546645430355;0.13989720344543458;0.003948263317152742;243.53876790364583;297.3715692897537;12.348394796237343;-56.39008158455789
