EXP;PROJECT;VERSIONS_AHEAD;CONFIG;FIT_MEAN;FIT_STD;SCORE_MEAN;SCORE_STD;MAE;RMSE;MAPE;R2 
1;zxing_zxing_measures;1;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 1);12.181222057342529;4.288644904903185;0.15468282699584962;0.01502870960913286;475.273291015625;487.509237897045;3.5970033958962966;-181.35545991054144
1;zxing_zxing_measures;5;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 1);11.762324905395507;4.225403905974466;0.14333486557006836;0.01019629505534823;456.2411848958333;467.50448008113744;3.4593156832805385;-220.25338096923196
1;zxing_zxing_measures;10;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 1);11.236156177520751;3.68387336099844;0.1393451690673828;0.015811696232871177;855.4238420758927;860.2394534169529;6.475033875827469;-3329.2069308346063
1;zxing_zxing_measures;20;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 1);10.25849347114563;3.582387648633218;0.15602312088012696;0.01705691820592866;965.1352313701924;970.3240459341974;7.29901811576556;-1844.717114332383
1;zxing_zxing_measures;40;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 1);8.352859783172608;2.29955557903505;0.13882484436035156;0.01973137667103983;982.7809678819445;988.9743026188295;7.41808657144604;-5404.185346407355
1;zxing_zxing_measures;average;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 1);10.758211278915406;3.615973079908872;0.14644216537475588;0.01556499915486415;746.9709034478976;754.9103039896324;5.649691528443181;-2195.9436464908235
1;zxing_zxing_measures;1;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 2);19.804382705688475;6.929660034304688;0.25049219131469724;0.01148252784901351;671.9414306640625;680.0357727187597;5.070350520749487;-640.7040342396538
1;zxing_zxing_measures;5;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 2);19.082868528366088;6.043929785829839;0.2660223484039307;0.012031545359719988;370.81591145833335;387.2733523879113;2.7995815179323658;-483.9791184586949
1;zxing_zxing_measures;10;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 2);18.31355357170105;5.636916733918618;0.2379823684692383;0.014601360113640396;609.4333984375;613.717949908726;4.635351906314666;-1006.5541696966459
1;zxing_zxing_measures;20;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 2);16.636783170700074;5.770798304251371;0.25228400230407716;0.030797892937452203;604.1618840144231;613.5246419115217;4.5800425568204295;-309.62458909023087
1;zxing_zxing_measures;40;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 2);13.962181806564331;3.7259742959403144;0.2407533645629883;0.013032392831885753;527.9651258680556;531.3413823156031;3.983268342785773;-1157.3643118699317
1;zxing_zxing_measures;average;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 2);17.559953956604;5.621455830848967;0.24950685501098632;0.01638914381834237;556.8635500884749;565.1786198485045;4.213718968920544;-719.6452446710315
1;zxing_zxing_measures;1;(5, 100, 'adam', 0.01, 'relu', 0.1, 100, 1);12.15714373588562;4.728316061970666;0.14516587257385255;0.01394407933693927;680.2138671875;686.6445266877226;5.159052047295742;-413.1152517947391
1;zxing_zxing_measures;5;(5, 100, 'adam', 0.01, 'relu', 0.1, 100, 1);11.964234828948975;4.426735983814327;0.13708534240722656;0.01364922404399602;924.4948958333334;944.637891444089;6.981130115448115;-1930.8389681981268
1;zxing_zxing_measures;10;(5, 100, 'adam', 0.01, 'relu', 0.1, 100, 1);11.594939851760865;3.6149530609326423;0.12436323165893555;0.007604999939794952;1290.6905691964287;1296.2619440381538;9.77999484149565;-4792.686513544484
1;zxing_zxing_measures;20;(5, 100, 'adam', 0.01, 'relu', 0.1, 100, 1);10.125361156463622;3.4443339626961604;0.13733158111572266;0.014647117415410943;437.75202824519226;446.603159944077;3.317079828898708;-328.82289705447243
1;zxing_zxing_measures;40;(5, 100, 'adam', 0.01, 'relu', 0.1, 100, 1);8.743244743347168;2.389853545994637;0.1381547451019287;0.026755701174961483;1050.4396050347223;1051.8648224023475;7.938065288512341;-2668.690084941189
1;zxing_zxing_measures;average;(5, 100, 'adam', 0.01, 'relu', 0.1, 100, 1);10.91698486328125;3.7208385230816865;0.1364201545715332;0.015320224382220532;876.7181930994353;885.202468903278;6.635064424330112;-2026.8307431066023
1;zxing_zxing_measures;1;(5, 100, 'adam', 0.01, 'relu', 0.1, 100, 2);21.588096714019777;8.092699233725074;0.22018065452575683;0.007530061557299066;400.5975341796875;411.88825429058477;3.040618200910668;-173.08963496204666
1;zxing_zxing_measures;5;(5, 100, 'adam', 0.01, 'relu', 0.1, 100, 2);21.188428926467896;7.382579758430544;0.2409748077392578;0.026037297776600677;587.4038671874999;605.2728715664593;4.447439473739369;-886.4993191488996
1;zxing_zxing_measures;10;(5, 100, 'adam', 0.01, 'relu', 0.1, 100, 2);20.513987684249877;6.916806957280261;0.25132455825805666;0.015458038942147348;525.6120814732143;531.842263710709;3.993974677392546;-814.0524486973098
1;zxing_zxing_measures;20;(5, 100, 'adam', 0.01, 'relu', 0.1, 100, 2);17.811949920654296;6.091816261851407;0.25373110771179197;0.01700433842127888;265.7659555288461;276.0243401503656;2.0196678615689394;-105.11187552066538
1;zxing_zxing_measures;40;(5, 100, 'adam', 0.01, 'relu', 0.1, 100, 2);15.71847062110901;4.415300783037325;0.2513169288635254;0.02638077086426775;603.6092664930554;611.4598607062529;4.548462065252929;-2776.184584239364
1;zxing_zxing_measures;average;(5, 100, 'adam', 0.01, 'relu', 0.1, 100, 2);19.36418677330017;6.579840598864922;0.24350561141967772;0.018482101512318747;476.59774097246066;487.29751808487424;3.6100324557728904;-950.9875725136571
