EXP;PROJECT;VERSIONS_AHEAD;CONFIG;FIT_MEAN;FIT_STD;SCORE_MEAN;SCORE_STD;MAE;RMSE;MAPE;R2 
1;commonsio_measures;1;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 1);35.081634759902954;13.638433616724674;0.15929722785949707;0.018365409495238107;334.882713035301;354.25174391770224;9.627683016597173;-11.018940102712794
1;commonsio_measures;5;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 1);32.74984498023987;14.358307363844217;0.16122617721557617;0.02416210879912736;333.83400969328704;354.25227428842766;9.281162174200562;-9.926437070960972
1;commonsio_measures;10;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 1);32.630782556533816;14.325510466786428;0.1528034210205078;0.015699865611285477;440.43682423717564;474.3218941647945;12.640465581721102;-31.329093868646265
1;commonsio_measures;20;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 1);32.35922651290893;13.91199472802647;0.16825652122497559;0.01339389136569575;302.66011699601717;343.95451213120595;8.563073696936751;-4.2929989987686525
1;commonsio_measures;40;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 1);29.91187310218811;12.683330813848928;0.18170266151428222;0.014723179647258252;492.90873311360673;544.7029248489482;13.4336473698426;-226.3974540318863
1;commonsio_measures;average;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 1);32.546672382354735;13.783515397846145;0.16465720176696777;0.017268890983720985;380.9444794150776;414.29666987021574;10.70920636785964;-56.592984814595
1;commonsio_measures;1;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 2);57.3889458656311;24.923212741050477;0.2798932552337646;0.04565450680349067;345.12238046151623;363.99723741607727;8.888909848556109;-5.792558829744707
1;commonsio_measures;5;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 2);57.67296652793884;25.857307693548357;0.3308996677398682;0.014701623673567164;228.87918113425926;262.22876279750744;6.639148510286967;-4.351203910838373
1;commonsio_measures;10;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 2);57.56836838722229;23.107013260485793;0.3155529022216797;0.01973903809532274;310.7630914652123;354.0919316805403;8.466319250861236;-10.522133841114766
1;commonsio_measures;20;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 2);54.80016269683838;22.714502346180282;0.29891300201416016;0.016052951654600477;628.3503360523898;655.0308610125264;17.08299270350876;-50.52521689305902
1;commonsio_measures;40;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 2);50.66066150665283;21.962405828185528;0.3036048412322998;0.01832532309272285;365.9099721272786;396.30602942945256;9.510659274573424;-10.306808899507633
1;commonsio_measures;average;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 2);55.61822099685669;23.712888373890088;0.3057727336883545;0.02289468866394078;375.8049922481312;406.3309644672208;10.117605917557299;-16.2995844748529
1;commonsio_measures;1;(5, 100, 'adam', 0.01, 'relu', 0.1, 100, 1);35.648084259033205;14.536283261356068;0.1668802261352539;0.01295022372175093;251.9554624204282;276.53596467953275;7.339111048085007;-2.521412512305044
1;commonsio_measures;5;(5, 100, 'adam', 0.01, 'relu', 0.1, 100, 1);34.819636058807376;15.271665322460072;0.1723341464996338;0.010744601239581198;496.5080611617477;525.2988681333555;14.081539542906176;-17.46552000725124
1;commonsio_measures;10;(5, 100, 'adam', 0.01, 'relu', 0.1, 100, 1);34.39168152809143;15.374554553484357;0.17336196899414064;0.024445822550574835;362.7956483085201;392.2185429037008;10.446946182134099;-14.19486917947979
1;commonsio_measures;20;(5, 100, 'adam', 0.01, 'relu', 0.1, 100, 1);34.92967386245728;14.425925921751329;0.1722033977508545;0.0070826350086191075;404.69649586397054;433.608039942932;10.901450545319799;-16.895599546399954
1;commonsio_measures;40;(5, 100, 'adam', 0.01, 'relu', 0.1, 100, 1);33.198242855072024;13.676209663617831;0.1911773681640625;0.01592248201242986;368.9985951741536;420.3795067535796;10.08020572867266;-96.62747984966632
1;commonsio_measures;average;(5, 100, 'adam', 0.01, 'relu', 0.1, 100, 1);34.59746371269226;14.656927744533931;0.17519142150878905;0.014229152906591186;376.99085258576406;409.6081844826202;10.569850609423549;-29.540976219020468
1;commonsio_measures;1;(5, 100, 'adam', 0.01, 'relu', 0.1, 100, 2);63.74004130363464;25.654104588934608;0.32320518493652345;0.03415417092017492;214.8119402850116;241.24528801096147;6.368957559358646;-6.488415305798985
1;commonsio_measures;5;(5, 100, 'adam', 0.01, 'relu', 0.1, 100, 2);59.765303230285646;26.340483411852233;0.2815530776977539;0.018864684902144165;324.54157353153937;348.2834368491192;8.915671503648607;-6.047662635080509
1;commonsio_measures;10;(5, 100, 'adam', 0.01, 'relu', 0.1, 100, 2);58.32141270637512;26.000522105861815;0.28673887252807617;0.03822590969123879;297.8616791347288;337.0407025689089;7.941158649474524;-23.298308515790268
1;commonsio_measures;20;(5, 100, 'adam', 0.01, 'relu', 0.1, 100, 2);58.10460615158081;24.10857755502925;0.2961267471313477;0.03438162562667035;343.4266783471201;378.7000467672968;9.232038022933256;-8.590357628902549
1;commonsio_measures;40;(5, 100, 'adam', 0.01, 'relu', 0.1, 100, 2);56.02172355651855;23.754351056427353;0.2986775875091553;0.03662503272891624;324.68738301595056;350.058502961416;8.926846059719946;-21.71897488271403
1;commonsio_measures;average;(5, 100, 'adam', 0.01, 'relu', 0.1, 100, 2);59.19061738967896;25.17160774362105;0.29726029396057124;0.03245028477382889;301.06585086287004;331.0655954315405;8.276934359026995;-13.22874379365727
