EXP;PROJECT;VERSIONS_AHEAD;CONFIG;FIT_MEAN;FIT_STD;SCORE_MEAN;SCORE_STD;MAE;RMSE;MAPE;R2 
1;google_guava_measures;1;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 1);19.15072135925293;6.952053039141739;0.17315750122070311;0.03151711489772559;9894.986588541668;10764.342614439649;11.22853457511702;-514.6514594764608
1;google_guava_measures;5;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 1);18.92242488861084;6.811687004893542;0.1555633544921875;0.018046077429941368;9439.077717391305;10158.38275179503;10.80820711406689;-1071.0392909245418
1;google_guava_measures;10;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 1);17.926668643951416;6.857255874194761;0.1525050163269043;0.02408162300084336;11173.523845108695;11721.480555980848;12.729551262178875;-384.1383571178883
1;google_guava_measures;20;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 1);16.7262460231781;6.547606933241293;0.13901228904724122;0.011055461183865264;9967.435937500002;10398.675048583347;11.173610528394613;-486.1880373447075
1;google_guava_measures;40;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 1);14.097825717926025;5.046193833382665;0.1414560317993164;0.012627472263192446;15752.506944444443;16769.616950686883;17.24447947702975;-19305.174474608008
1;google_guava_measures;average;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 1);17.364777326583866;6.4429593369708;0.15233883857727054;0.019465549755113602;11245.506206597223;11962.499584297151;12.63687659135743;-4352.238323894321
1;google_guava_measures;1;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 2);30.42307057380676;11.26196422110329;0.25936050415039064;0.01854411322470999;6974.524283854165;8107.712648665687;7.8664393321059665;-161.81865806363245
1;google_guava_measures;5;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 2);29.861875534057617;10.758385012599634;0.2624503612518311;0.03557677169712624;11078.312228260867;12228.45110120636;12.40272194772992;-648.7110027507971
1;google_guava_measures;10;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 2);28.410049390792846;10.938108789977077;0.24639806747436524;0.027952341365003894;10151.598505434782;10815.799559229588;11.435433122900534;-691.8130529213453
1;google_guava_measures;20;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 2);26.753738737106325;10.482850076660208;0.2510854244232178;0.03387395017913997;8758.071354166666;8870.508573925463;9.772990431738254;-1490.6801635348663
1;google_guava_measures;40;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 2);23.053970718383788;8.488200257417292;0.24212031364440917;0.02719698046741384;15818.843229166665;16631.451132536782;17.139074767079943;-692155.7313051136
1;google_guava_measures;average;(5, 100, 'adam', 0.01, 'relu', 0.1, 50, 2);27.700540990829467;10.3859016715515;0.2522829341888428;0.028628831386678787;10556.269920176632;11330.784603112776;11.723331920310923;-139029.75083647686
1;google_guava_measures;1;(5, 100, 'adam', 0.01, 'relu', 0.1, 100, 1);17.888000965118408;7.094068466047853;0.15129504203796387;0.018606918412927855;6304.167968749999;6557.717887059107;7.100796536315693;-320.53569882732506
1;google_guava_measures;5;(5, 100, 'adam', 0.01, 'relu', 0.1, 100, 1);18.448891592025756;6.869865579070699;0.1435251235961914;0.013437740487448937;6983.832948369565;7887.059007228216;7.6911982252693765;-304.4179001715187
1;google_guava_measures;10;(5, 100, 'adam', 0.01, 'relu', 0.1, 100, 1);17.067545700073243;6.793199756870871;0.1371767997741699;0.016645789638012783;10357.09375;10660.117843108446;11.476994450398811;-5421.23590770404
1;google_guava_measures;20;(5, 100, 'adam', 0.01, 'relu', 0.1, 100, 1);15.9778657913208;6.465976943471264;0.14275588989257812;0.019753316302351;11057.82775297619;11281.073573512704;12.41392135603006;-406.0102075422937
1;google_guava_measures;40;(5, 100, 'adam', 0.01, 'relu', 0.1, 100, 1);13.792827939987182;5.281999518529753;0.1433393955230713;0.012421405030018684;19038.020486111112;20328.20610508589;20.566913916459974;-535595.2175406794
1;google_guava_measures;average;(5, 100, 'adam', 0.01, 'relu', 0.1, 100, 1);16.635026397705076;6.501022052798089;0.1436184501647949;0.016173033974151853;10748.188581241373;11342.834883198873;11.849964896894782;-108409.4834509849
1;google_guava_measures;1;(5, 100, 'adam', 0.01, 'relu', 0.1, 100, 2);31.036969232559205;11.752450911444608;0.2551262378692627;0.020665707360131805;9962.701725260416;10348.247363595647;11.48627548784677;-271.8953846728092
1;google_guava_measures;5;(5, 100, 'adam', 0.01, 'relu', 0.1, 100, 2);30.77082190513611;10.96585940555601;0.279093074798584;0.022784965659717576;9331.82133152174;10112.057706981217;10.563227946759138;-647.7489491974601
1;google_guava_measures;10;(5, 100, 'adam', 0.01, 'relu', 0.1, 100, 2);29.029734325408935;10.64290006545314;0.24455080032348633;0.027998966172718794;8302.973233695653;8976.197714834258;9.393017743429635;-439.3441398245403
1;google_guava_measures;20;(5, 100, 'adam', 0.01, 'relu', 0.1, 100, 2);28.01930809020996;10.59336278186597;0.2544256210327148;0.02996916307469052;11084.958258928571;11333.807449194954;12.494666808713337;-612.2606122278002
1;google_guava_measures;40;(5, 100, 'adam', 0.01, 'relu', 0.1, 100, 2);23.789027881622314;8.262675356721969;0.261796760559082;0.037355372129451475;10240.384982638887;11071.315661118026;11.214728713557541;-42569.736326319384
1;google_guava_measures;average;(5, 100, 'adam', 0.01, 'relu', 0.1, 100, 2);28.529172286987308;10.44344970420834;0.25899849891662596;0.02775483487934204;9784.567906409055;10368.325179144818;11.030383340061285;-8908.197082448398
